,Date,Category,Category_id,Price,Weight,Indent,Parent,Parent_ID
86402,2019-01-15,Food purchased from stores,4,146.1,3.562091674033798e-16,2.0,Food,3.0
86702,2019-02-15,Food purchased from stores,4,147.1,3.562091674033798e-16,2.0,Food,3.0
87002,2019-03-15,Food purchased from stores,4,147,3.562091674033798e-16,2.0,Food,3.0
87302,2019-04-15,Food purchased from stores,4,146.1,3.562091674033798e-16,2.0,Food,3.0
87602,2019-05-15,Food purchased from stores,4,147.1,3.562091674033798e-16,2.0,Food,3.0
87902,2019-06-15,Food purchased from stores,4,148.3,3.562091674033798e-16,2.0,Food,3.0
88202,2019-07-15,Food purchased from stores,4,149.3,3.562091674033798e-16,2.0,Food,3.0
88502,2019-08-15,Food purchased from stores,4,148.4,3.562091674033798e-16,2.0,Food,3.0
88802,2019-09-15,Food purchased from stores,4,147.2,3.562091674033798e-16,2.0,Food,3.0
89102,2019-10-15,Food purchased from stores,4,146.5,3.562091674033798e-16,2.0,Food,3.0
89402,2019-11-15,Food purchased from stores,4,148.2,3.562091674033798e-16,2.0,Food,3.0
89702,2019-12-15,Food purchased from stores,4,149.4,3.562091674033798e-16,2.0,Food,3.0
90002,2020-01-15,Food purchased from stores,4,151.6,3.562091674033798e-16,2.0,Food,3.0
90302,2020-02-15,Food purchased from stores,4,150.6,3.562091674033798e-16,2.0,Food,3.0
90602,2020-03-15,Food purchased from stores,4,150.5,3.562091674033798e-16,2.0,Food,3.0
90902,2020-04-15,Food purchased from stores,4,151.9,3.562091674033798e-16,2.0,Food,3.0
91202,2020-05-15,Food purchased from stores,4,152.3,3.562091674033798e-16,2.0,Food,3.0
91502,2020-06-15,Food purchased from stores,4,152.8,3.562091674033798e-16,2.0,Food,3.0
91802,2020-07-15,Food purchased from stores,4,152.9,3.562091674033798e-16,2.0,Food,3.0
92102,2020-08-15,Food purchased from stores,4,150.8,3.562091674033798e-16,2.0,Food,3.0
92402,2020-09-15,Food purchased from stores,4,149.1,3.562091674033798e-16,2.0,Food,3.0
92702,2020-10-15,Food purchased from stores,4,149.9,3.562091674033798e-16,2.0,Food,3.0
93002,2020-11-15,Food purchased from stores,4,150.6,3.562091674033798e-16,2.0,Food,3.0
93302,2020-12-15,Food purchased from stores,4,150.2,3.562091674033798e-16,2.0,Food,3.0
93602,2021-01-15,Food purchased from stores,4,151.7,3.562091674033798e-16,2.0,Food,3.0
93902,2021-02-15,Food purchased from stores,4,152.6,3.562091674033798e-16,2.0,Food,3.0
94202,2021-03-15,Food purchased from stores,4,152.5,3.562091674033798e-16,2.0,Food,3.0
94502,2021-04-15,Food purchased from stores,4,152,3.562091674033798e-16,2.0,Food,3.0
94802,2021-05-15,Food purchased from stores,4,153.6,3.562091674033798e-16,2.0,Food,3.0
95102,2021-06-15,Food purchased from stores,4,153.8,3.562091674033798e-16,2.0,Food,3.0
95402,2021-07-15,Food purchased from stores,4,154.4,3.562091674033798e-16,2.0,Food,3.0
95702,2021-08-15,Food purchased from stores,4,154.7,3.562091674033798e-16,2.0,Food,3.0
96002,2021-09-15,Food purchased from stores,4,155.4,3.562091674033798e-16,2.0,Food,3.0
96302,2021-10-15,Food purchased from stores,4,155.8,3.562091674033798e-16,2.0,Food,3.0
